asset_id,asset_name,asset_code,location,cost_of_purchase,created_by,created_on,asset_status,asset_domain,community_id,community_name,sub_community_id,sub_community_name,sub_community_location,sub_community_status,sub_community_domain,sub_community_created_by,sub_community_created_on,sub_community_type,asset_type,building_id,building_name,building_status,building_location,building_site_code,building_open_time,building_close_time,building_domain,building_created_by,building_created_on,building_type,spaces_id,spaces_name,spaces_layout,spaces_status,spaces_domain,spaces_type,data_point_id,point_name,point_display_name,point_data_type,remote_data_type,access_type,point_status,point_symbol,point_unit,point_expression,point_precedence,point_type
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,5381c935-acbc-4fc0-9ae7-a3a1203de20e,Fourteenth Floor,,ACTIVE,emaar,Floor,b3b69b7b-fa47-481e-9749-04c0111789d9,Return Temperature,76208a50-2a9a-4620-b53f-95c59218d53f-Return Temperature,Double,,READONLY,ACTIVE,degC,celsius,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,b84ffa2c-dc55-41d2-be9e-83f09e802067,T1  1405,,ACTIVE,emaar,Room,d4148972-fa74-4228-8b0f-c134203efade,Flow Litre Per Second,76208a50-2a9a-4620-b53f-95c59218d53f-Flow Litre Per Second,Double,,READONLY,ACTIVE,L/s,liters per second,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,5381c935-acbc-4fc0-9ae7-a3a1203de20e,Fourteenth Floor,,ACTIVE,emaar,Floor,d4148972-fa74-4228-8b0f-c134203efade,Flow Litre Per Second,76208a50-2a9a-4620-b53f-95c59218d53f-Flow Litre Per Second,Double,,READONLY,ACTIVE,L/s,liters per second,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,b84ffa2c-dc55-41d2-be9e-83f09e802067,T1  1405,,ACTIVE,emaar,Room,8c9287b6-5a49-4731-8ed3-32407997f4e0,Flow Litre Per Hour,76208a50-2a9a-4620-b53f-95c59218d53f-Flow Litre Per Hour,Double,,READONLY,ACTIVE,L/hr,liter per hour,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,5381c935-acbc-4fc0-9ae7-a3a1203de20e,Fourteenth Floor,,ACTIVE,emaar,Floor,8c9287b6-5a49-4731-8ed3-32407997f4e0,Flow Litre Per Hour,76208a50-2a9a-4620-b53f-95c59218d53f-Flow Litre Per Hour,Double,,READONLY,ACTIVE,L/hr,liter per hour,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,b84ffa2c-dc55-41d2-be9e-83f09e802067,T1  1405,,ACTIVE,emaar,Room,b43a59ef-6673-4a87-a284-13e6810adf79,Energy RTH,76208a50-2a9a-4620-b53f-95c59218d53f-Energy RTH,Double,,READONLY,ACTIVE,tR-hr,tons refrigeration hour,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,5381c935-acbc-4fc0-9ae7-a3a1203de20e,Fourteenth Floor,,ACTIVE,emaar,Floor,b43a59ef-6673-4a87-a284-13e6810adf79,Energy RTH,76208a50-2a9a-4620-b53f-95c59218d53f-Energy RTH,Double,,READONLY,ACTIVE,tR-hr,tons refrigeration hour,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,b84ffa2c-dc55-41d2-be9e-83f09e802067,T1  1405,,ACTIVE,emaar,Room,b650b25a-080f-4cab-b93b-a5f88ec1d77e,Energy KWH,76208a50-2a9a-4620-b53f-95c59218d53f-Energy KWH,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
76208a50-2a9a-4620-b53f-95c59218d53f,DC Creek Edge T1-14-1405,,POINT(55.345269 25.209629),,system@datalkz,1729414550604,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,5381c935-acbc-4fc0-9ae7-a3a1203de20e,Fourteenth Floor,,ACTIVE,emaar,Floor,b650b25a-080f-4cab-b93b-a5f88ec1d77e,Energy KWH,76208a50-2a9a-4620-b53f-95c59218d53f-Energy KWH,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
46b3b9c8-0c40-4779-98b0-4a062adc7c90,DC Creek Edge T1-14-1406,,POINT(55.345269 25.209629),,system@datalkz,1729446979404,ACTIVE,emaar,creek,Dubai Creek Harbour,3a75b6eb-6daf-4ab9-8b6b-55a32f7da2ea,Creek Edge,POINT(55.345531 25.209866),ACTIVE,emaar,admin@emaar,1724157593916,SubCommunity,TenantBTUMeter,04f0302b-ab71-4cca-9d29-f5102fb749fa,Creek Edge Tower 1,ACTIVE,POINT(55.345269 25.209629),,,,emaar,admin@emaar,1724157915210,ResidentialTower,db00ee2d-e102-4151-b2a7-1010eaac31c6,T1  1406,,ACTIVE,emaar,Room,a52e2a8f-9b7b-4173-b69f-0217dab3281d,Temperature Difference,46b3b9c8-0c40-4779-98b0-4a062adc7c90-Temperature Difference,Double,,READONLY,ACTIVE,degC,celsius,,,Double
