asset_id,asset_name,asset_code,location,cost_of_purchase,created_by,created_on,asset_status,asset_domain,community_id,community_name,sub_community_id,sub_community_name,sub_community_location,sub_community_status,sub_community_domain,sub_community_created_by,sub_community_created_on,sub_community_type,asset_type,building_id,building_name,building_status,building_location,building_site_code,building_open_time,building_close_time,building_domain,building_created_by,building_created_on,building_type,spaces_id,spaces_name,spaces_layout,spaces_status,spaces_domain,spaces_type,data_point_id,point_name,point_display_name,point_data_type,remote_data_type,access_type,point_status,point_symbol,point_unit,point_expression,point_precedence,point_type
3f46d031-3a24-41df-8857-ec9545c21cb9,DT MC LV Panel Meter 01,,POINT(55.27466 25.20005),,siteadmin@datalkz,1594735098893,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,LVPMeter,c226fda0-d00e-4dbe-8f6d-6b31c69dffec,BLVD J0 J8,ACTIVE,POINT(55.27466 25.20005),,,,emaar,siteuser@emaar,1594546864904,ResidentialTower,,,,,,,b23acc12-606d-4854-a78a-ae30535c60b8,Energy,3f46d031-3a24-41df-8857-ec9545c21cb9-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
c3498771-58c5-487d-a789-3fe9eddcedae,DT MC LV Panel Meter 05,,POINT(55.275110839859984 25.200351392425382),,system@datalkz,1652884405433,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,LVPMeter,caf4205d-29bc-4b1d-a71e-885648b3476f,DT Master Community,ACTIVE,POINT(55.275110839859984 25.200351392425382),,,,emaar,techsupport@emaar,1652415261086,ResidentialTower,,,,,,,eb78f5be-b7f2-4bae-9b3d-f7d7546876a4,Energy,c3498771-58c5-487d-a789-3fe9eddcedae-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
886e3a56-9b13-4a75-97e3-b1874dfdce2e,DT MC LV Panel Meter 06,,POINT(55.275110839859984 25.200351392425382),,system@datalkz,1652884468919,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,LVPMeter,caf4205d-29bc-4b1d-a71e-885648b3476f,DT Master Community,ACTIVE,POINT(55.275110839859984 25.200351392425382),,,,emaar,techsupport@emaar,1652415261086,ResidentialTower,,,,,,,6cf57c87-6456-4a4b-830a-369e4a89f523,Energy,886e3a56-9b13-4a75-97e3-b1874dfdce2e-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
6f356482-3faa-432a-9f71-4b7be91af621,DT MC LV Panel Meter 07,,POINT(55.275110839859984 25.200351392425382),,system@datalkz,1652884530303,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,LVPMeter,caf4205d-29bc-4b1d-a71e-885648b3476f,DT Master Community,ACTIVE,POINT(55.275110839859984 25.200351392425382),,,,emaar,techsupport@emaar,1652415261086,ResidentialTower,,,,,,,e5a37045-ecaa-4f83-a333-11a451311c49,Energy,6f356482-3faa-432a-9f71-4b7be91af621-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
753476b1-594c-4bc5-816d-cda648165871,DT MC LV Panel Meter 02,,POINT(55.273415 25.201409),,siteadmin@datalkz,1594752391744,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,LVPMeter,d471693e-4447-4397-974a-b3fd0e02909c,SCR Secondary Roads,ACTIVE,POINT(55.273415 25.201409),,,,emaar,siteuser@emaar,1594547033783,ResidentialTower,,,,,,,b364a4ae-e062-4258-9ff5-cfc684445be8,Energy,753476b1-594c-4bc5-816d-cda648165871-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
b655b9ce-5ff6-4582-a489-e1547b68754f,DT MC LV Panel Meter 03,,POINT(55.273415 25.201409),,siteadmin@datalkz,1594739228218,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,LVPMeter,d471693e-4447-4397-974a-b3fd0e02909c,SCR Secondary Roads,ACTIVE,POINT(55.273415 25.201409),,,,emaar,siteuser@emaar,1594547033783,ResidentialTower,,,,,,,1444266f-5939-4589-a813-56c97385c957,Energy,b655b9ce-5ff6-4582-a489-e1547b68754f-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
2c1e0ce4-f36d-4318-abc1-386352b2677a,DT MC LV Panel Meter 04,,POINT(55.273415 25.201409),,siteadmin@datalkz,1594741846807,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,LVPMeter,d471693e-4447-4397-974a-b3fd0e02909c,SCR Secondary Roads,ACTIVE,POINT(55.273415 25.201409),,,,emaar,siteuser@emaar,1594547033783,ResidentialTower,,,,,,,ab10a222-6a86-447e-bc23-6579e4637084,Energy,2c1e0ce4-f36d-4318-abc1-386352b2677a-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
fb6d3cdb-a232-4d85-9152-d3424b5202cc,DT MC Water Meter 01,,POINT(55.273415 25.201409),,siteadmin@datalkz,1594753736512,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,WaterMeter,d471693e-4447-4397-974a-b3fd0e02909c,SCR Secondary Roads,ACTIVE,POINT(55.273415 25.201409),,,,emaar,siteuser@emaar,1594547033783,ResidentialTower,,,,,,,1b4a13a8-03a0-4df2-bf85-b88f6845b4e0,Consumption,fb6d3cdb-a232-4d85-9152-d3424b5202cc-Consumption,Double,,READONLY,ACTIVE,galUK,imperial gallon,%24%7BIG%7D,,Double
6e19dac9-ccf6-41b3-8d2e-ab464ca1f3a8,DT MC Water Meter 02,,POINT(55.273415 25.201409),,siteadmin@datalkz,1594756753308,ACTIVE,emaar,downtown,Downtown Dubai,b57baa09-f748-4f7f-92b3-f5a12eb0f67e,Downtown Master Community,POINT(55.273606 25.194653),ACTIVE,emaar,siteuser@emaar,1594543576838,SubCommunity,WaterMeter,d471693e-4447-4397-974a-b3fd0e02909c,SCR Secondary Roads,ACTIVE,POINT(55.273415 25.201409),,,,emaar,siteuser@emaar,1594547033783,ResidentialTower,,,,,,,c13230b2-10be-46b3-b33c-61cb0de71ce1,Consumption,6e19dac9-ccf6-41b3-8d2e-ab464ca1f3a8-Consumption,Double,,READONLY,ACTIVE,galUK,imperial gallon,%24%7BIG%7D,,Double
