asset_id,asset_name,asset_code,location,cost_of_purchase,created_by,created_on,asset_status,asset_domain,community_id,community_name,sub_community_id,sub_community_name,sub_community_location,sub_community_status,sub_community_domain,sub_community_created_by,sub_community_created_on,sub_community_type,asset_type,building_id,building_name,building_status,building_location,building_site_code,building_open_time,building_close_time,building_domain,building_created_by,building_created_on,building_type,spaces_id,spaces_name,spaces_layout,spaces_status,spaces_domain,spaces_type,data_point_id,point_name,point_display_name,point_data_type,remote_data_type,access_type,point_status,point_symbol,point_unit,point_expression,point_precedence,point_type
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,4673f2e5-475b-410b-a980-dbfe90ef5fff,Tenth Floor,,ACTIVE,emaar,Floor,b26e2ad9-a130-4dd4-b88c-e75fadb2e88c,Valve Command,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Valve Command,String,,WRITABLE,ACTIVE,-,unitless,,1,String
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,dd325f93-b0e0-4456-ab5f-847b304413d5,Service Lift Lobby,,ACTIVE,emaar,CommonArea,b26e2ad9-a130-4dd4-b88c-e75fadb2e88c,Valve Command,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Valve Command,String,,WRITABLE,ACTIVE,-,unitless,,1,String
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,4673f2e5-475b-410b-a980-dbfe90ef5fff,Tenth Floor,,ACTIVE,emaar,Floor,0763c86d-61fe-47ce-9579-84183d77a3dc,Unoccupied Setpoint,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Unoccupied Setpoint,Double,,WRITABLE,ACTIVE,degC,celsius,,1,Double
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,dd325f93-b0e0-4456-ab5f-847b304413d5,Service Lift Lobby,,ACTIVE,emaar,CommonArea,0763c86d-61fe-47ce-9579-84183d77a3dc,Unoccupied Setpoint,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Unoccupied Setpoint,Double,,WRITABLE,ACTIVE,degC,celsius,,1,Double
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,4673f2e5-475b-410b-a980-dbfe90ef5fff,Tenth Floor,,ACTIVE,emaar,Floor,bb15cd05-20f5-4a34-8225-a902a6c59f8c,Supervisory Fan Speed,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Supervisory Fan Speed,String,,WRITABLE,ACTIVE,-,unitless,%24%7B%0Aif%28SupervisoryFanSpeed%3D%3D0.0%29%20return%20%27Off%27%0Aif%28SupervisoryFanSpeed%3D%3D1.0%29%20return%20%27Low%27%20%0Aif%28SupervisoryFanSpeed%3D%3D2.0%29%20return%20%27Medium%27%20%0Aif%28SupervisoryFanSpeed%3D%3D3.0%29%20return%20%27High%27%20%0Aif%28SupervisoryFanSpeed%3D%3D4.0%29%20return%20%27Auto%27%20%0Areturn%20null%3B%0A%7D,1,String
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,dd325f93-b0e0-4456-ab5f-847b304413d5,Service Lift Lobby,,ACTIVE,emaar,CommonArea,bb15cd05-20f5-4a34-8225-a902a6c59f8c,Supervisory Fan Speed,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Supervisory Fan Speed,String,,WRITABLE,ACTIVE,-,unitless,%24%7B%0Aif%28SupervisoryFanSpeed%3D%3D0.0%29%20return%20%27Off%27%0Aif%28SupervisoryFanSpeed%3D%3D1.0%29%20return%20%27Low%27%20%0Aif%28SupervisoryFanSpeed%3D%3D2.0%29%20return%20%27Medium%27%20%0Aif%28SupervisoryFanSpeed%3D%3D3.0%29%20return%20%27High%27%20%0Aif%28SupervisoryFanSpeed%3D%3D4.0%29%20return%20%27Auto%27%20%0Areturn%20null%3B%0A%7D,1,String
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,4673f2e5-475b-410b-a980-dbfe90ef5fff,Tenth Floor,,ACTIVE,emaar,Floor,5e71b45b-9655-45c1-987a-8abfaa82bf48,Return Temperature,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Return Temperature,Double,,READONLY,ACTIVE,degC,celsius,,1,Double
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,dd325f93-b0e0-4456-ab5f-847b304413d5,Service Lift Lobby,,ACTIVE,emaar,CommonArea,5e71b45b-9655-45c1-987a-8abfaa82bf48,Return Temperature,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Return Temperature,Double,,READONLY,ACTIVE,degC,celsius,,1,Double
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,4673f2e5-475b-410b-a980-dbfe90ef5fff,Tenth Floor,,ACTIVE,emaar,Floor,e427d256-3901-4178-83d9-1a715eb09fb5,Present Setpoint Offset,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Present Setpoint Offset,Double,,READONLY,ACTIVE,degC,celsius,,,Double
af8cd641-b29f-4b9f-95b3-5b06fcd3c859,MP 10F FCU 01,0118773,POINT(55.1398333333333 25.0753333333333),,siteadmin@datalkz,1619270566119,ACTIVE,emaar,marina,Dubai Marina,52acd424-6a2a-482a-bab1-371783649106,Marina Plaza,POINT(55.140116 25.075183),ACTIVE,emaar,siteuser@emaar,1593599654101,SubCommunity,FanCoilUnit,bacb3f4f-f5ce-4fbc-9bf4-6a259f74ade7,Marina Plaza,ACTIVE,POINT(55.1398333333333 25.0753333333333),,,,emaar,siteuser@emaar,1593923754790,ResidentialTower,dd325f93-b0e0-4456-ab5f-847b304413d5,Service Lift Lobby,,ACTIVE,emaar,CommonArea,e427d256-3901-4178-83d9-1a715eb09fb5,Present Setpoint Offset,af8cd641-b29f-4b9f-95b3-5b06fcd3c859-Present Setpoint Offset,Double,,READONLY,ACTIVE,degC,celsius,,,Double
