asset_id,asset_name,asset_code,location,cost_of_purchase,created_by,created_on,asset_status,asset_domain,community_id,community_name,sub_community_id,sub_community_name,sub_community_location,sub_community_status,sub_community_domain,sub_community_created_by,sub_community_created_on,sub_community_type,asset_type,building_id,building_name,building_status,building_location,building_site_code,building_open_time,building_close_time,building_domain,building_created_by,building_created_on,building_type,spaces_id,spaces_name,spaces_layout,spaces_status,spaces_domain,spaces_type,data_point_id,point_name,point_display_name,point_data_type,remote_data_type,access_type,point_status,point_symbol,point_unit,point_expression,point_precedence,point_type
85493520-1cb8-4c42-89ee-56f8d99ec45a,DCH Marina Parking LV Panel Meter 01,,POINT(55.343189 25.205407),,siteadmin@datalkz,1594730800257,ACTIVE,emaar,creek,Dubai Creek Harbour,24109c5e-5598-40db-96db-4cfb26694154,DCH Marina,POINT(55.343051 25.205455),ACTIVE,emaar,siteuser@emaar,1594545406998,SubCommunity,LVPMeter,4f8417bc-e57b-49bd-8b01-40666c501a3e,Marina Parking,ACTIVE,POINT(55.343189 25.205407),,,,emaar,siteuser@emaar,1594546311605,ResidentialTower,,,,,,,ac75ed59-0d45-495d-a736-a5a3b11d3b7a,Energy,85493520-1cb8-4c42-89ee-56f8d99ec45a-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
bbd9e259-28b8-4f4f-bd1f-2ad329d31e48,DCH Marina Parking LV Panel Meter 02,,POINT(55.343189 25.205407),,siteadmin@datalkz,1594740992264,ACTIVE,emaar,creek,Dubai Creek Harbour,24109c5e-5598-40db-96db-4cfb26694154,DCH Marina,POINT(55.343051 25.205455),ACTIVE,emaar,siteuser@emaar,1594545406998,SubCommunity,LVPMeter,4f8417bc-e57b-49bd-8b01-40666c501a3e,Marina Parking,ACTIVE,POINT(55.343189 25.205407),,,,emaar,siteuser@emaar,1594546311605,ResidentialTower,,,,,,,cb170bfc-3032-444b-8468-fe5f937a4aa8,Energy,bbd9e259-28b8-4f4f-bd1f-2ad329d31e48-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
306a8bf4-4f51-43b7-a0c5-693a80c5b4f3,DCH Marina Parking LV Panel Meter 03,,POINT(55.343189 25.205407),,siteadmin@datalkz,1594751047302,ACTIVE,emaar,creek,Dubai Creek Harbour,24109c5e-5598-40db-96db-4cfb26694154,DCH Marina,POINT(55.343051 25.205455),ACTIVE,emaar,siteuser@emaar,1594545406998,SubCommunity,LVPMeter,4f8417bc-e57b-49bd-8b01-40666c501a3e,Marina Parking,ACTIVE,POINT(55.343189 25.205407),,,,emaar,siteuser@emaar,1594546311605,ResidentialTower,,,,,,,bdc32207-18ad-44bf-b4ff-15b3cf64416c,Energy,306a8bf4-4f51-43b7-a0c5-693a80c5b4f3-Energy,Double,,READONLY,ACTIVE,kW-hr,kilowatt hour,,,Double
163d64bd-3169-457f-a629-e8eebda41ab1,DCH Marina Parking Water Meter 01,,POINT(55.343189 25.205407),,siteadmin@datalkz,1594754892266,ACTIVE,emaar,creek,Dubai Creek Harbour,24109c5e-5598-40db-96db-4cfb26694154,DCH Marina,POINT(55.343051 25.205455),ACTIVE,emaar,siteuser@emaar,1594545406998,SubCommunity,WaterMeter,4f8417bc-e57b-49bd-8b01-40666c501a3e,Marina Parking,ACTIVE,POINT(55.343189 25.205407),,,,emaar,siteuser@emaar,1594546311605,ResidentialTower,,,,,,,26a4ffab-dc4f-4975-88cd-76d7c0ef26f1,Consumption,163d64bd-3169-457f-a629-e8eebda41ab1-Consumption,Double,,READONLY,ACTIVE,galUK,imperial gallon,%24%7BIG%7D,,Double
